macd,rsi,wr,c_mov5,deltamov5,turnover,signal
-0.003,44.279,-75.065,-0.005,-0.004,114701.57,1
-0.003,48.887,-49.87,0.003,0.004,112574.52000000002,1
-0.001,56.546,-19.958,0.015,0.028,615197.1200000001,1
0.001,56.546,-19.958,0.01,0.025,253203.15999999997,1
0.002,56.546,-19.958,0.007,0.004,320991.38,1
0.002,51.707,-39.917,-0.002,0.003,79.06,1
0.002,51.707,-39.917,-0.001,-0.005,46661.58,1
0.002,56.067,-19.958,0.006,-0.01,28479.98,1
0.003,56.067,-19.958,0.004,-0.006,65605.84000000001,1
0.003,56.067,-19.958,0.002,-0.004,111310.02000000002,1
0.003,50.386,-39.917,-0.005,-0.003,133977.61,1
0.003,55.267,-24.935,0.003,0.005,470724.73999999993,1
0.004,59.553,-0.0,0.009,0.003,486664.1299999999,1
0.005,59.553,-0.0,0.006,0.002,11193.64,1
0.005,53.598,-50.0,-0.003,-0.005,94920.23999999999,1
0.003,44.099,-100.0,-0.015,-0.01,138430.91,1
0.002,44.099,-74.805,-0.01,-0.013,104944.06,1
0.0,44.099,-74.805,-0.006,-0.015,105744.44,1
0.0,49.669,-49.87,0.002,-0.004,18810.94,1
0.001,54.547,-24.935,0.008,0.01,160326.96000000002,1
0.002,58.842,-0.0,0.012,0.026,81654.88,1
0.002,53.407,-24.935,0.001,0.011,42211.54,1
0.002,48.575,-49.87,-0.006,0.001,32874.270000000004,1
0.002,53.141,-24.935,0.003,0.001,56310.009999999995,1
0.001,48.503,-49.87,-0.005,-0.012,187986.19999999998,1
0.003,56.651,-0.0,0.01,-0.002,291835.0800000001,1
0.005,63.018,-33.218,0.019,0.018,1236395.23,1
0.007,63.018,-33.218,0.013,0.018,173031.65999999997,1
0.007,58.025,-44.521,0.002,-0.001,182286.88,1
0.008,58.025,-44.521,0.001,0.006,15417.7,1
0.006,49.172,-85.757,-0.012,-0.022,161484.02000000002,1
0.006,53.031,-71.513,-0.002,-0.021,121264.39999999998,1
0.005,53.031,-71.513,-0.001,-0.014,51229.04,1
0.004,48.74,-85.757,-0.007,-0.009,649.67,1
0.003,48.74,-85.757,-0.005,-0.006,54399.840000000004,1
0.003,48.74,-85.757,-0.003,0.009,145479.32,1
0.002,48.74,-85.757,-0.002,-0.001,10560.0,1
0.003,57.903,-57.27,0.011,0.012,137432.51,1
0.003,52.819,-60.166,0.001,0.008,13568.85,1
0.003,52.819,-60.166,0.001,0.006,18353.219999999998,1
0.005,60.871,-0.0,0.013,0.017,127974.85999999999,1
0.005,55.7,-25.389,0.002,0.005,223011.52,1
0.005,55.7,-25.389,0.002,-0.01,92977.64,1
0.005,55.7,-25.389,0.001,-0.0,125616.9,1
0.005,55.7,-25.389,0.001,-0.0,116197.8,1
0.005,55.7,-25.389,0.0,-0.013,43107.13,1
0.006,60.554,-19.917,0.007,0.004,230988.14,1
0.007,64.642,-0.0,0.011,0.009,311016.89,0
0.007,58.152,-19.917,0.001,-0.0,1010.79,0
0.007,58.152,-24.87,0.001,-0.0,37042.560000000005,0
0.007,58.152,-24.87,0.0,-0.0,177916.4,0
0.007,58.152,-24.87,0.0,-0.007,159267.79,0
0.007,58.152,-24.87,0.0,-0.011,163637.39,0
0.007,58.152,-33.103,0.0,-0.001,10848.01,0
0.006,50.137,-66.897,-0.006,-0.007,90512.79999999999,0
0.004,43.773,-75.13,-0.011,-0.011,346944.82,0
0.003,50.535,-50.259,-0.001,-0.001,140036.6,0
0.002,44.74,-75.13,-0.007,-0.007,258911.58,0
0.0,39.823,-100.0,-0.011,-0.011,26293.28,0
-0.0,46.192,-75.13,-0.001,0.006,1153.22,0
-0.001,46.192,-66.897,-0.001,0.01,110597.38999999998,0
-0.0,52.075,-33.793,0.006,0.007,18152.8,0
-0.001,46.589,-66.897,-0.002,0.004,35194.21,0
-0.001,46.589,-66.897,-0.002,0.009,58814.22,0
-0.001,46.589,-66.897,-0.001,-0.0,28930.35,0
-0.002,46.589,-66.897,-0.001,-0.0,182537.14,0
-0.002,46.589,-66.897,-0.0,-0.006,19805.809999999998,0
-0.002,46.589,-66.897,-0.0,0.002,34025.28,0
-0.002,46.589,-66.897,-0.0,0.001,25798.59,0
-0.002,46.589,-50.0,-0.0,0.001,38382.14,0
-0.001,55.139,-0.0,0.006,0.007,63232.54,0
-0.001,47.031,-50.0,-0.002,-0.002,49670.06999999999,0
-0.001,54.272,-0.0,0.005,0.005,35778.979999999996,0
-0.0,54.272,-0.0,0.003,0.004,70340.52,0
-0.0,46.845,-100.0,-0.004,-0.004,46280.48,0
0.0,53.673,-0.0,0.004,-0.003,153967.00999999998,0
0.001,53.673,-0.0,0.002,0.005,408162.1699999999,0
0.002,59.788,-33.103,0.008,0.003,359590.52,0
0.002,52.347,-66.897,-0.001,-0.004,222653.0,0
0.002,52.347,-66.897,-0.001,0.003,447846.48,0
0.002,58.357,-33.103,0.006,0.002,193133.06,0
0.002,51.378,-66.897,-0.003,-0.005,535633.9299999999,0
0.002,51.378,-66.897,-0.002,-0.01,106397.14000000001,0
0.001,45.233,-100.0,-0.008,-0.006,321177.11000000004,0
-0.0,40.071,-100.0,-0.011,-0.011,112074.05,0
-0.002,35.685,-100.0,-0.014,-0.02,212151.69999999998,0
-0.004,35.685,-100.0,-0.009,-0.007,143769.02000000002,0
-0.004,42.929,-80.083,0.0,0.002,109409.54,0
-0.004,42.929,-80.083,0.0,0.008,155163.36,0
-0.004,49.523,-50.259,0.006,0.018,90723.5,0
-0.004,44.043,-75.13,-0.002,0.012,255576.16999999998,0
-0.005,39.353,-100.0,-0.008,0.002,121489.94000000002,0
-0.006,39.353,-80.083,-0.005,-0.005,427179.56999999995,0
-0.006,39.353,-75.0,-0.003,-0.004,267415.8,0
-0.006,39.353,-75.0,-0.002,-0.009,32156.52,0
-0.007,34.423,-79.834,-0.008,-0.006,266575.87,0
-0.009,30.294,-100.0,-0.012,-0.004,266830.72000000003,0
-0.01,30.294,-83.362,-0.008,-0.003,104248.8,0
-0.011,26.627,-100.0,-0.012,-0.008,16431.5,0
-0.012,26.627,-100.0,-0.008,-0.005,109588.75,0
-0.012,35.659,-83.362,0.001,0.009,35397.19,0
-0.012,35.659,-83.362,0.001,0.013,17108.559999999998,0
-0.011,43.769,-49.87,0.007,0.015,21146.06,0
-0.01,38.538,-75.065,-0.002,0.01,166203.59,0
-0.012,30.712,-100.0,-0.014,-0.006,107368.11,0
-0.012,37.542,-75.065,-0.003,-0.004,16516.32,0
-0.012,33.939,-100.0,-0.008,-0.009,19719.3,0
-0.012,40.126,-50.13,0.001,-0.006,326578.53,0
-0.012,40.126,-50.13,0.001,0.002,49787.28,0
-0.011,40.126,-50.13,0.0,0.014,18742.79,0
-0.01,46.397,-25.195,0.007,0.01,6648.719999999999,0
-0.009,46.397,-25.195,0.004,0.013,54631.5,0
-0.009,41.372,-50.13,-0.003,-0.004,23825.140000000003,0
-0.008,47.496,-25.195,0.004,0.004,11102.66,0
-0.008,42.693,-50.13,-0.004,-0.004,27956.4,0
-0.007,42.693,-33.333,-0.002,-0.009,31185.589999999997,0
-0.006,53.626,-0.0,0.011,0.007,130875.73000000001,0
-0.004,53.626,-0.0,0.007,0.011,62853.14,0
-0.003,53.626,-0.0,0.005,0.001,13985.34,0
-0.002,53.626,-24.935,0.003,0.007,331348.38,0
-0.0,58.875,-0.0,0.009,0.011,14923.170000000002,0
0.001,58.875,-0.0,0.006,-0.005,16052.010000000002,0
0.002,58.875,-0.0,0.004,-0.004,16526.0,0
0.002,51.583,-33.218,-0.004,-0.009,37843.09,0
0.002,57.281,-0.0,0.004,0.001,9997.19,0
0.002,50.838,-33.218,-0.004,-0.012,49555.42,0
0.003,56.15,-0.0,0.004,-0.002,54923.700000000004,0
0.004,60.721,-0.0,0.009,0.005,16634.48,0
0.004,54.592,-33.218,-0.0,0.003,70928.35,0
0.003,49.241,-66.436,-0.007,-0.011,129119.26,0
0.003,49.241,-66.436,-0.004,-0.001,33711.48,0
0.003,54.422,-50.0,0.003,-0.0,38044.08,0
0.003,54.422,-50.0,0.002,-0.007,14731.72,0
0.003,54.422,-50.0,0.002,0.002,11267.26,0
0.003,54.422,-50.0,0.001,0.008,84673.09000000001,0
0.003,54.422,-50.0,0.001,0.005,23534.28,0
0.003,54.422,-50.0,0.0,-0.003,46644.89,0
0.002,46.946,-100.0,-0.006,-0.008,109309.25,0
0.002,46.946,-66.436,-0.004,-0.006,45004.549999999996,0
0.002,54.237,-33.218,0.004,0.003,30560.76,0
0.002,54.237,-33.218,0.002,0.002,11149.940000000002,0
0.002,54.237,-33.218,0.002,0.001,17910.670000000002,0
0.002,54.237,-33.218,0.001,0.007,58401.92,0
0.002,54.237,-33.218,0.001,0.005,23112.700000000004,0
0.002,54.237,-33.218,0.0,-0.003,39529.009999999995,0
0.002,54.237,-33.218,0.0,-0.002,26421.150000000005,0
0.001,44.064,-66.436,-0.006,-0.008,22923.510000000002,0
0.001,53.464,-33.218,0.002,0.001,25006.700000000004,0
-0.0,39.201,-100.0,-0.011,-0.012,102702.21,0
-0.0,46.873,-49.741,-0.001,-0.002,14375.33,0
-0.002,36.897,-100.0,-0.014,-0.014,147461.22999999998,0
-0.003,43.355,-66.782,-0.003,0.004,53478.54000000001,0
-0.003,43.355,-66.782,-0.002,-0.004,156219.0,0
-0.004,43.355,-66.782,-0.001,0.01,10631.19,0
-0.004,43.355,-66.782,-0.001,0.0,24175.71,0
-0.004,43.355,-66.782,-0.001,0.013,311400.95,0
-0.003,50.734,-33.218,0.006,0.009,143860.26,0
-0.003,50.734,-33.218,0.004,0.006,27829.050000000003,0
-0.001,57.142,-0.0,0.009,0.01,240312.55000000002,0
-0.001,50.121,-33.218,-0.0,0.0,93691.12000000001,0
-0.001,50.121,-33.218,-0.0,0.0,18304.66,0
-0.001,50.121,-33.218,-0.0,-0.006,47280.0,0
-0.001,43.393,-66.782,-0.007,-0.011,134174.46,0
-0.002,43.393,-66.782,-0.004,-0.013,512284.49,0
-0.003,37.599,-100.0,-0.009,-0.009,138032.08,0
-0.003,45.444,-66.782,0.0,0.0,6520.5,0
-0.004,40.025,-100.0,-0.006,-0.006,51606.36,0
-0.004,40.025,-75.065,-0.004,0.002,96537.48999999999,0
-0.006,35.163,-100.0,-0.009,-0.005,19046.739999999998,0
-0.006,35.163,-80.042,-0.006,0.003,60946.740000000005,0
-0.006,43.17,-50.13,0.002,0.002,40260.560000000005,0
-0.007,38.102,-75.065,-0.005,0.001,689670.79,0
-0.008,33.826,-80.042,-0.01,-0.005,352132.57999999996,0
-0.008,40.962,-60.083,-0.0,0.009,93095.7,0
-0.009,36.7,-80.042,-0.006,-0.0,89537.56,0
-0.008,48.288,-40.125,0.009,0.006,166399.14,0
-0.008,40.336,-80.042,-0.007,-0.002,22675.72,0
-0.009,40.336,-80.042,-0.005,0.005,15660.0,0
-0.008,45.537,-60.083,0.003,0.003,26893.94,0
-0.007,45.537,-60.083,0.002,0.009,16422.159999999996,0
-0.008,41.356,-80.042,-0.005,-0.013,9809.42,0
-0.008,41.356,-80.042,-0.003,0.004,7944.62,0
-0.007,46.999,-60.083,0.004,0.009,33349.19,0
-0.006,46.999,-33.333,0.003,-0.0,70229.37,0
-0.006,46.999,-33.333,0.002,-0.0,7060.5,0
-0.005,46.999,-33.333,0.001,0.006,3007.25,0
-0.005,46.999,-33.333,0.001,0.004,22174.019999999997,0
-0.005,41.249,-100.0,-0.006,-0.01,15310.420000000002,0
-0.005,41.249,-100.0,-0.004,-0.007,23416.92,0
-0.005,41.249,-100.0,-0.003,-0.004,13900.86,0
-0.005,41.249,-100.0,-0.002,-0.003,37954.600000000006,0
-0.005,49.551,-0.0,0.005,0.004,104.6,0
-0.005,37.989,-100.0,-0.009,-0.003,278159.80999999994,0
-0.006,37.989,-100.0,-0.006,-0.002,7841.1,0
-0.006,37.989,-100.0,-0.004,-0.002,18537.18,0
-0.007,37.989,-66.436,-0.003,-0.001,54314.880000000005,0
-0.008,32.79,-100.0,-0.008,-0.014,8486.6,0
-0.007,41.423,-66.436,0.001,0.01,16943.510000000002,0
-0.007,41.423,-66.436,0.001,0.007,1698.46,0
-0.007,41.423,-66.436,0.0,0.005,39099.78,0
-0.007,35.696,-100.0,-0.006,-0.003,23020.4,0
-0.008,35.696,-100.0,-0.004,0.004,55160.27,0
-0.008,35.696,-100.0,-0.003,-0.004,135678.4,0
-0.008,35.696,-100.0,-0.002,-0.002,64812.8,0
-0.008,35.696,-100.0,-0.001,-0.002,43404.399999999994,0
-0.008,29.792,-100.0,-0.007,-0.001,9222.939999999999,0
-0.008,40.407,-50.259,0.002,0.006,31242.8,0
-0.008,40.407,-50.259,0.001,0.004,26.0,0
-0.007,40.407,-50.259,0.001,0.003,6171.15,0
-0.008,33.989,-100.0,-0.006,-0.005,25384.370000000003,0
-0.008,33.989,-100.0,-0.004,0.003,37703.14,0
-0.007,44.258,-50.259,0.004,0.002,5534.75,0
-0.007,44.258,-50.259,0.003,0.001,8958.35,0
-0.007,37.493,-100.0,-0.005,-0.005,132258.32,0
-0.007,37.493,-100.0,-0.003,0.003,65995.95,0
-0.006,46.905,-0.0,0.004,0.008,26.0,0
-0.004,59.959,-0.0,0.016,0.012,308295.93000000005,0
-0.001,64.618,-0.0,0.017,0.014,236807.49,0
-0.0,57.422,-24.935,0.005,0.01,146867.75,0
0.0,51.273,-49.87,-0.003,-0.0,333385.65,0
0.0,51.273,-49.87,-0.002,-0.006,73888.21999999999,0
0.0,51.273,-49.87,-0.001,-0.017,6778.21,0
-0.0,45.169,-75.065,-0.007,-0.024,172795.08000000002,0
-0.0,51.4,-49.87,0.002,-0.003,44441.51,0
0.001,56.65,-24.935,0.007,0.011,98474.67999999998,0
0.001,50.746,-49.87,-0.001,0.001,80953.33,0
